"(2, 10), neighbors:2500, best: (27, 35), D, 0"
"(2, 11), neighbors:2500, best: (27, 36), C, 0"
"(2, 12), neighbors:2500, best: (27, 37), D, 0"
"(2, 13), neighbors:2500, best: (27, 38), D, 0"
"(2, 14), neighbors:2500, best: (27, 39), C, 0"
"(2, 15), neighbors:2500, best: (27, 40), C, 0"
"(2, 16), neighbors:2500, best: (27, 41), D, 0"
"(2, 17), neighbors:2500, best: (27, 42), C, 0"
"(2, 18), neighbors:2500, best: (27, 43), C, 0"
"(2, 19), neighbors:2500, best: (27, 44), C, 0"
"(2, 20), neighbors:2500, best: (27, 45), D, 0"
"(2, 21), neighbors:2500, best: (27, 46), C, 0"
"(2, 22), neighbors:2500, best: (27, 47), D, 0"
"(2, 23), neighbors:2500, best: (27, 48), C, 0"
"(2, 24), neighbors:2500, best: (27, 49), D, 0"
"(2, 25), neighbors:2500, best: (27, 0), C, 0"
"(2, 26), neighbors:2500, best: (27, 1), D, 0"
"(2, 27), neighbors:2500, best: (27, 2), D, 0"
"(2, 28), neighbors:2500, best: (27, 3), C, 0"
"(2, 29), neighbors:2500, best: (27, 4), C, 0"
"(2, 30), neighbors:2500, best: (27, 5), C, 0"
"(2, 31), neighbors:2500, best: (27, 6), D, 0"
"(2, 32), neighbors:2500, best: (27, 7), D, 0"
"(2, 33), neighbors:2500, best: (27, 8), D, 0"
"(2, 34), neighbors:2500, best: (27, 9), D, 0"
"(2, 35), neighbors:2500, best: (27, 10), C, 0"
"(2, 36), neighbors:2500, best: (27, 11), D, 0"
"(2, 37), neighbors:2500, best: (27, 12), C, 0"
"(2, 38), neighbors:2500, best: (27, 13), C, 0"
"(2, 39), neighbors:2500, best: (27, 14), C, 0"
"(2, 40), neighbors:2500, best: (27, 15), C, 0"
"(2, 41), neighbors:2500, best: (27, 16), D, 0"
"(2, 42), neighbors:2500, best: (27, 17), D, 0"
"(2, 43), neighbors:2500, best: (27, 18), D, 0"
"(2, 44), neighbors:2500, best: (27, 19), C, 0"
"(2, 45), neighbors:2500, best: (27, 20), D, 0"
"(2, 46), neighbors:2500, best: (27, 21), D, 0"
"(2, 47), neighbors:2500, best: (27, 22), C, 0"
"(2, 48), neighbors:2500, best: (27, 23), D, 0"
"(2, 49), neighbors:2500, best: (27, 24), D, 0"
"(3, 0), neighbors:2500, best: (28, 25), C, 0"
"(3, 1), neighbors:2500, best: (28, 26), D, 0"
"(3, 2), neighbors:2500, best: (28, 27), C, 0"
"(3, 3), neighbors:2500, best: (28, 28), D, 0"
"(3, 4), neighbors:2500, best: (28, 29), C, 0"
"(3, 5), neighbors:2500, best: (28, 30), C, 0"
"(3, 6), neighbors:2500, best: (28, 31), C, 0"
"(3, 7), neighbors:2500, best: (28, 32), D, 0"
"(3, 8), neighbors:2500, best: (28, 33), D, 0"
"(3, 9), neighbors:2500, best: (28, 34), C, 0"
"(3, 10), neighbors:2500, best: (28, 35), D, 0"
"(3, 11), neighbors:2500, best: (28, 36), C, 0"
"(3, 12), neighbors:2500, best: (28, 37), D, 0"
"(3, 13), neighbors:2500, best: (28, 38), D, 0"
"(3, 14), neighbors:2500, best: (28, 39), C, 0"
"(3, 15), neighbors:2500, best: (28, 40), D, 0"
"(3, 16), neighbors:2500, best: (28, 41), C, 0"
"(3, 17), neighbors:2500, best: (28, 42), C, 0"
"(3, 18), neighbors:2500, best: (28, 43), C, 0"
"(3, 19), neighbors:2500, best: (28, 44), C, 0"
"(3, 20), neighbors:2500, best: (28, 45), C, 0"
